year,rar,nrar
1970,30,30
1971,30,30
1972,30,30
1973,30,30
1974,30,30
1975,30,30
1976,30,30
1977,30,30
1978,30,30
1979,30,30
1980,30,30
1981,30,30
1982,30,30
1983,21,29
1984,21,29
1985,21,29
1986,21,29
1987,18,29
1988,16,29
1989,15,29
1990,15,29
1991,14.34,29
1992,14.34,29
1993,12.86,29
1994,12.86,29
1995,10.36,29
1996,10.36,29
1997,9.74,29
1998,9.74,29
1999,9.74,29
2000,9.74,29
2001,9.15,29
2002,9.15,29
2003,7.96,29
2004,7.96,29
2005,7.96,29
2006,7.96,29
2007,7.96,29
2008,7.96,29
2009,7.96,29
2010,7.96,29
2011,7.96,29
2012,7.96,29
2013,7.96,29
2014,7.96,29
2015,7.96,29
2016,7.96,29
2017,7.2,29
2018,7.2,29
2019,7.15,29
2020,7.15,29
2021,7.15,29
2022,6.95,29
2023,6.7,27.9
